season,date,name,level,surface,indoor,drawType,drawSize,playerCount,participation,strength,averageEloRating,winner_name,winner_seed,winner_country_name,winner_country_id,runnerUp_name,runnerUp_seed,runnerUp_country_name,runnerUp_country_id,score,titleDifficulty,titleAvgRank,titleAvgEloRating,speed
1988,1988-05-23,Roland Garros,G,C,false,KO,128,128,0.8455666470933646,3018,2067,Mats Wilander,3,Sweden,SWE,Henri Leconte,11,France,FRA,7-5 6-2 6-1,0.8863328015895259,29.35739795529681,1978,
1987,1987-05-25,Roland Garros,G,C,false,KO,128,128,0.8813857897827363,3036,2071,Ivan Lendl,1,Czech Republic,CZE,Mats Wilander,4,Sweden,SWE,7-5 6-2 3-6 7-6,1.0833566525750815,17.644632333405045,2074,
1986,1986-05-26,Roland Garros,G,C,false,KO,128,128,0.7557251908396947,2833,2032,Ivan Lendl,1,Czech Republic,CZE,Mikael Pernfors,,Sweden,SWE,6-3 6-2 6-4,0.8386536536061501,44.234573801320415,1961,
1985,1985-05-27,Roland Garros,G,C,false,KO,128,128,0.7803875513799178,2962,2057,Mats Wilander,4,Sweden,SWE,Ivan Lendl,2,Czech Republic,CZE,3-6 6-4 6-2 6-2,1.1808402491060157,16.77150466510413,2111,
1984,1984-05-28,Roland Garros,G,C,false,KO,128,128,0.7510275983558427,2996,2063,Ivan Lendl,2,Czech Republic,CZE,John McEnroe,1,United States,USA,3-6 2-6 6-4 7-5 7-5,1.1665653017624449,16.62135634382385,2101,
1983,1983-05-23,Roland Garros,G,C,false,KO,128,128,0.6970052847915443,2922,2049,Yannick Noah,6,France,FRA,Mats Wilander,5,Sweden,SWE,6-2 7-5 7-6,1.0753339213055133,31.42647615072303,2039,
1982,1982-05-24,Roland Garros,G,C,false,KO,128,128,0.634762184380505,2863,2038,Mats Wilander,,Sweden,SWE,Guillermo Vilas,3,Argentina,ARG,1-6 7-6 6-0 6-4,1.1680882633033263,26.01427985111002,2085,
1981,1981-05-25,Roland Garros,G,C,false,KO,128,128,0.726952436876101,3095,2081,Bjorn Borg,1,Sweden,SWE,Ivan Lendl,5,Czech Republic,CZE,6-1 4-6 6-2 3-6 6-1,1.0265623444695846,71.35613543674302,1999,
1980,1980-05-26,Roland Garros,G,C,false,KO,128,128,0.7874339401056958,3162,2094,Bjorn Borg,1,Sweden,SWE,Vitas Gerulaitis,5,United States,USA,6-4 6-1 6-2,1.0554756344574079,29.601827967540387,2016,
1979,1979-05-28,Roland Garros,G,C,false,KO,128,128,0.8185554903112156,3119,2086,Bjorn Borg,1,Sweden,SWE,Victor Pecci,,Paraguay,PAR,6-3 6-1 6-7 6-4,1.0060676317078459,41.319902332948494,2018,
1978,1978-05-29,Roland Garros,G,C,false,KO,128,128,0.6893716970052848,3002,2064,Bjorn Borg,1,Sweden,SWE,Guillermo Vilas,2,Argentina,ARG,6-1 6-1 6-3,1.1175276265831247,19.388691767819402,2075,
1977,1977-05-23,Roland Garros,G,C,false,KO,128,128,0.623018203170875,2814,2029,Guillermo Vilas,3,Argentina,ARG,Brian Gottfried,5,United States,USA,6-0 6-3 6-0,1.1043361409082784,18.88672470817964,2105,
1976,1976-05-31,Roland Garros,G,C,false,KO,128,128,0.5384615384615384,2798,2026,Adriano Panatta,8,Italy,ITA,Harold Solomon,7,United States,USA,6-1 6-4 4-6 7-6,1.0755035749758481,36.49901913015052,2035,
1975,1975-06-04,Roland Garros,G,C,false,KO,128,128,0.5596007046388726,2705,2008,Bjorn Borg,1,Sweden,SWE,Guillermo Vilas,4,Argentina,ARG,6-2 6-3 6-4,0.9702440831544679,31.633702937651975,1996,
1974,1974-06-03,Roland Garros,G,C,false,KO,128,128,0.5889606576629477,2567,1982,Bjorn Borg,3,Sweden,SWE,Manuel Orantes,14,Spain,ESP,2-6 6-7 6-0 6-1 6-1,0.6724262365917213,59.44534899568758,1887,
1973,1973-05-21,Roland Garros,G,C,false,KO,128,128,0.6981796829125073,2826,2031,Ilie Nastase,2,Romania,ROU,Nikola Pilic,,Croatia,CRO,6-3 6-3 6-0,0.8461095880822884,86.07529628512128,1972,
1972,1972-05-22,Roland Garros,G,C,false,KO,64,83,0.36466165413533835,2316,1964,Andres Gimeno,6,Spain,ESP,Patrick Proisy,9,France,FRA,4-6 6-3 6-1 6-1,0.8926117785676371,71.62351457468482,2006,
1971,1971-05-21,Roland Garros,G,C,false,KO,128,128,0.457428068115091,2507,1971,Jan Kodes,1,Czech Republic,CZE,Ilie Nastase,3,Romania,ROU,8-6 6-2 2-6 7-5,0.8770759496231294,123.79198582032957,1952,
1970,1970-05-01,Roland Garros,G,C,false,KO,128,128,0.3018203170874927,2208,1915,Jan Kodes,7,Czech Republic,CZE,Zeljko Franulovic,5,Croatia,CRO,6-2 6-4 6-0,0.7072836591783664,284.6706822413845,1855,
1969,1969-05-28,Roland Garros,G,C,false,KO,128,128,0.7216676453317674,2777,2022,Rod Laver,1,Australia,AUS,Ken Rosewall,3,Australia,AUS,6-4 6-3 6-4,1.0882422406347583,39.61407743268372,2014,
1968,1968-05-27,Roland Garros,G,C,false,KO,128,128,0.37404580152671757,2219,1917,Ken Rosewall,2,Australia,AUS,Rod Laver,1,Australia,AUS,6-3 6-1 2-6 6-2,1.0300397760769908,129.400270199972,1904,
